Date,Open,High,Low,Close
01/24/2025,"5,229.61","5,260.28","5,209.65","5,219.37"
01/23/2025,"5,212.30","5,220.84","5,184.83","5,217.50"
01/22/2025,"5,166.30","5,228.98","5,166.30","5,205.83"
01/21/2025,"5,162.36","5,171.23","5,151.83","5,165.96"
01/20/2025,"5,150.76","5,183.28","5,142.60","5,164.44"
01/17/2025,"5,118.31","5,158.63","5,118.31","5,148.30"
01/16/2025,"5,065.23","5,107.32","5,065.23","5,106.93"
01/15/2025,"4,980.21","5,051.69","4,975.39","5,032.31"
01/14/2025,"4,978.51","5,014.30","4,974.03","4,980.47"
01/13/2025,"4,964.78","4,964.78","4,916.87","4,954.21"
01/10/2025,"5,013.56","5,031.56","4,970.79","4,977.26"
01/09/2025,"4,982.75","5,022.15","4,967.62","5,017.91"
01/08/2025,"5,013.34","5,036.24","4,966.44","4,996.39"
01/07/2025,"4,987.38","5,030.83","4,969.30","5,011.82"
01/06/2025,"4,893.32","4,986.64","4,893.19","4,986.64"
01/03/2025,"4,915.54","4,917.34","4,861.12","4,871.45"
01/02/2025,"4,890.54","4,917.88","4,845.89","4,917.88"
12/31/2024,"4,866.22","4,896.02","4,860.86","4,895.98"
12/30/2024,"4,890.52","4,904.08","4,862.16","4,869.28"
12/27/2024,"4,854.16","4,898.88","4,847.89","4,898.88"
12/24/2024,"4,857.79","4,868.36","4,857.79","4,857.86"
12/23/2024,"4,859.04","4,862.51","4,832.15","4,852.93"
12/20/2024,"4,861.59","4,872.66","4,803.20","4,862.28"
12/19/2024,"4,916.32","4,916.32","4,869.11","4,879.00"
12/18/2024,"4,945.61","4,970.35","4,940.30","4,957.28"
12/17/2024,"4,936.52","4,966.14","4,922.34","4,942.58"
12/16/2024,"4,963.88","4,963.88","4,940.39","4,947.03"
12/13/2024,"4,964.08","4,996.96","4,955.29","4,967.95"
12/12/2024,"4,964.17","4,974.90","4,953.21","4,965.53"
12/11/2024,"4,947.44","4,966.23","4,940.08","4,959.35"
12/10/2024,"4,979.17","4,979.17","4,949.32","4,951.74"
12/09/2024,"4,991.84","5,007.70","4,974.05","4,985.46"
12/06/2024,"4,953.93","4,985.22","4,944.29","4,977.78"
12/05/2024,"4,914.06","4,954.92","4,912.75","4,951.58"
12/04/2024,"4,884.94","4,929.53","4,884.52","4,919.02"
12/03/2024,"4,854.14","4,902.04","4,854.14","4,878.51"
12/02/2024,"4,785.15","4,848.87","4,764.38","4,846.73"
11/29/2024,"4,754.62","4,810.49","4,741.89","4,804.40"
11/28/2024,"4,759.22","4,781.09","4,747.37","4,758.65"
11/27/2024,"4,752.43","4,752.43","4,705.97","4,733.15"
11/26/2024,"4,781.47","4,792.71","4,747.01","4,761.99"
11/25/2024,"4,806.29","4,831.28","4,790.77","4,799.87"
11/22/2024,"4,772.83","4,797.95","4,722.77","4,789.08"
11/21/2024,"4,731.23","4,757.59","4,690.45","4,755.83"
11/20/2024,"4,760.61","4,786.28","4,717.45","4,729.71"
11/19/2024,"4,791.89","4,801.23","4,688.68","4,751.23"
11/18/2024,"4,786.54","4,800.47","4,755.79","4,790.33"
11/15/2024,"4,810.59","4,829.68","4,785.65","4,794.85"
11/14/2024,"4,759.77","4,835.78","4,747.57","4,833.53"
11/13/2024,"4,740.93","4,761.09","4,699.78","4,740.34"
11/12/2024,"4,834.34","4,834.34","4,741.99","4,744.69"
11/11/2024,"4,825.50","4,875.75","4,825.50","4,854.03"
11/08/2024,"4,853.50","4,862.64","4,791.06","4,802.76"
11/07/2024,"4,812.63","4,869.39","4,810.63","4,851.96"
11/06/2024,"4,880.35","4,946.48","4,788.41","4,800.63"
11/05/2024,"4,853.66","4,874.55","4,839.44","4,870.33"
11/04/2024,"4,873.95","4,893.35","4,852.10","4,852.10"
11/01/2024,"4,829.48","4,889.49","4,829.48","4,877.75"
10/31/2024,"4,866.03","4,866.03","4,805.23","4,827.63"
10/30/2024,"4,931.32","4,931.32","4,866.59","4,885.75"
10/29/2024,"4,978.73","4,999.72","4,948.84","4,950.02"
10/28/2024,"4,962.16","4,982.74","4,932.61","4,969.83"
10/25/2024,"4,940.35","4,953.34","4,915.57","4,943.09"
10/24/2024,"4,929.02","4,970.48","4,929.02","4,935.45"
10/23/2024,"4,924.40","4,948.38","4,906.28","4,922.55"
10/22/2024,"4,941.04","4,965.75","4,910.32","4,939.31"
10/21/2024,"4,977.90","4,989.32","4,938.10","4,941.22"
10/18/2024,"4,950.05","4,986.27","4,944.13","4,986.27"
10/17/2024,"4,913.99","4,973.79","4,913.99","4,947.30"
10/16/2024,"4,918.44","4,926.08","4,898.95","4,908.71"
10/15/2024,"5,045.63","5,053.23","4,946.73","4,946.73"
10/14/2024,"5,007.27","5,044.74","4,999.18","5,041.01"
10/11/2024,"4,970.64","5,005.83","4,953.82","5,003.92"
10/10/2024,"4,980.12","4,986.70","4,950.16","4,970.34"
10/09/2024,"4,948.79","4,984.79","4,930.13","4,982.57"
10/08/2024,"4,953.91","4,955.96","4,911.83","4,949.00"
10/07/2024,"4,959.24","4,976.67","4,930.79","4,969.71"
10/04/2024,"4,920.20","4,976.02","4,911.36","4,954.94"
10/03/2024,"4,959.20","4,959.20","4,907.60","4,921.33"
10/02/2024,"4,961.73","4,983.22","4,931.56","4,963.29"
10/01/2024,"5,004.37","5,016.88","4,933.39","4,954.15"
09/30/2024,"5,060.76","5,060.76","5,000.45","5,000.45"
09/27/2024,"5,028.35","5,071.41","5,028.35","5,067.45"
09/26/2024,"4,956.34","5,035.44","4,956.34","5,032.59"
09/25/2024,"4,928.15","4,933.37","4,905.33","4,916.89"
09/24/2024,"4,907.58","4,953.69","4,907.58","4,940.72"
09/23/2024,"4,875.62","4,893.98","4,854.93","4,885.57"
09/20/2024,"4,929.15","4,930.22","4,868.80","4,871.54"
09/19/2024,"4,862.41","4,943.38","4,862.41","4,943.38"
09/18/2024,"4,861.52","4,864.60","4,831.09","4,835.30"
09/17/2024,"4,832.82","4,879.61","4,832.82","4,860.78"
09/16/2024,"4,835.16","4,852.71","4,820.11","4,827.63"
09/13/2024,"4,817.74","4,853.89","4,817.74","4,843.99"
09/12/2024,"4,777.77","4,836.64","4,777.77","4,814.08"
09/11/2024,"4,752.58","4,796.49","4,735.95","4,763.58"
09/10/2024,"4,779.55","4,803.37","4,736.89","4,747.20"
09/09/2024,"4,745.21","4,797.75","4,745.21","4,778.66"
09/06/2024,"4,806.59","4,829.28","4,732.86","4,738.06"
09/05/2024,"4,840.70","4,854.33","4,814.77","4,815.15"
09/04/2024,"4,889.17","4,889.17","4,838.83","4,848.18"
09/03/2024,"4,977.97","4,986.74","4,906.98","4,912.52"
09/02/2024,"4,955.87","4,973.39","4,924.18","4,973.07"
08/30/2024,"4,959.03","4,980.86","4,957.96","4,957.98"
