"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","46.96","47.01","47.29","46.83","46.50K","-1.22%"
"12/28/2023","47.54","48.02","48.10","47.54","5.72K","-2.01%"
"12/27/2023","48.51","48.30","49.25","48.20","29.03K","0.72%"
"12/22/2023","48.17","48.40","48.50","48.00","11.07K","1.01%"
"12/21/2023","47.69","48.28","48.45","47.29","25.93K","-1.95%"
"12/20/2023","48.64","48.19","48.83","48.18","88.83K","1.06%"
"12/19/2023","48.13","47.33","48.13","46.99","40.44K","1.09%"
"12/18/2023","47.61","46.76","48.15","46.01","14.25K","2.40%"
"12/15/2023","46.49","46.64","46.69","46.33","1.83K","-0.14%"
"12/14/2023","46.56","45.38","46.73","45.38","59.15K","3.66%"
"12/13/2023","44.92","44.18","45.12","44.07","60.66K","0.57%"
"12/12/2023","44.66","46.38","46.38","44.64","41.45K","-2.57%"
"12/11/2023","45.84","46.32","46.34","45.75","13.24K","-0.26%"
"12/08/2023","45.96","45.80","46.21","45.62","26.29K","1.94%"
"12/07/2023","45.08","45.41","45.63","45.03","35.71K","-0.24%"
"12/06/2023","45.19","46.79","46.79","45.15","18.82K","-3.96%"
"12/05/2023","47.06","47.44","47.77","46.71","28.11K","-0.66%"
"12/04/2023","47.38","47.22","47.83","46.90","13.71K","-3.08%"
"12/01/2023","48.88","48.63","48.96","48.28","26.18K","1.28%"
"11/30/2023","48.26","50.12","50.82","48.82","32.47K","-2.08%"
"11/29/2023","49.28","49.11","49.83","48.97","21.33K","-0.01%"
"11/28/2023","49.29","48.29","48.63","48.17","10.24K","2.20%"
"11/27/2023","48.23","48.09","48.66","47.72","16.82K","-2.05%"
"11/24/2023","49.24","49.05","49.34","48.74","5.53K","1.06%"
"11/23/2023","48.72","48.88","48.91","48.42","107.75K","1.82%"
"11/22/2023","47.85","49.71","49.71","47.38","8.93K","-2.83%"
"11/21/2023","49.25","49.36","49.50","49.17","15.29K","-0.92%"
"11/20/2023","49.71","48.82","49.75","48.69","33.14K","3.67%"
"11/17/2023","47.94","46.79","47.68","46.79","39.60K","1.84%"
"11/16/2023","47.08","48.56","48.84","47.07","39.31K","-3.93%"
"11/15/2023","49.01","49.38","49.47","49.07","8.45K","-1.81%"
"11/14/2023","49.91","49.45","50.23","49.13","28.32K","1.24%"
"11/13/2023","49.30","48.34","49.30","48.34","21.98K","1.36%"
