"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2020","2,971.35","2,919.10","2,971.35","2,912.96","26.95M","2.27%"
"05/22/2020","2,905.47","2,889.38","2,922.20","2,854.07","45.18M","0.02%"
"05/21/2020","2,904.98","2,927.65","2,936.82","2,897.78","38.84M","-1.27%"
"05/20/2020","2,942.39","2,895.51","2,946.47","2,874.95","53.60M","1.37%"
"05/19/2020","2,902.58","2,931.17","2,944.96","2,876.66","67.92M","-0.32%"
"05/18/2020","2,911.88","2,800.07","2,923.32","2,800.07","49.02M","5.10%"
"05/15/2020","2,770.70","2,777.43","2,801.85","2,755.15","45.57M","0.38%"
"05/14/2020","2,760.23","2,796.48","2,796.48","2,708.07","57.06M","-1.79%"
"05/13/2020","2,810.55","2,872.01","2,872.01","2,805.27","43.28M","-2.55%"
"05/12/2020","2,884.20","2,878.61","2,896.40","2,871.25","34.34M","0.02%"
"05/11/2020","2,883.75","2,915.72","2,927.26","2,861.71","34.18M","-0.84%"
"05/08/2020","2,908.11","2,892.95","2,912.02","2,887.49","30.05M","0.96%"
"05/07/2020","2,880.60","2,842.82","2,883.02","2,842.82","40.52M","1.30%"
"05/06/2020","2,843.76","2,876.45","2,878.70","2,839.77","41.34M","-1.12%"
"05/05/2020","2,875.91","2,830.33","2,878.51","2,827.37","48.88M","2.11%"
"05/04/2020","2,816.48","2,898.89","2,898.89","2,801.07","57.39M","-3.81%"
"05/01/2020","2,927.93","2,927.93","2,927.93","2,927.93","72.74M","0.00%"
"04/30/2020","2,927.93","3,003.21","3,023.83","2,917.31","72.74M","-2.27%"
"04/29/2020","2,996.08","2,934.49","3,000.49","2,919.74","50.04M","2.18%"
"04/28/2020","2,932.06","2,882.81","2,951.35","2,880.72","54.62M","1.73%"
"04/27/2020","2,882.09","2,838.96","2,882.11","2,838.96","36.12M","2.60%"
"04/24/2020","2,809.07","2,837.33","2,849.08","2,799.12","42.44M","-1.52%"
"04/23/2020","2,852.46","2,837.32","2,883.60","2,815.12","41.58M","0.62%"
"04/22/2020","2,834.90","2,800.81","2,838.26","2,800.81","41.19M","1.56%"
"04/21/2020","2,791.34","2,889.57","2,889.57","2,791.34","50.94M","-4.06%"
"04/20/2020","2,909.50","2,894.91","2,909.50","2,839.18","42.21M","0.73%"
"04/17/2020","2,888.30","2,842.10","2,931.55","2,842.10","61.20M","2.70%"
"04/16/2020","2,812.35","2,826.70","2,853.57","2,792.17","53.50M","0.15%"
"04/15/2020","2,808.20","2,914.30","2,914.30","2,795.47","60.15M","-3.75%"
"04/14/2020","2,917.74","2,911.20","2,956.22","2,905.72","51.06M","0.86%"
"04/09/2020","2,892.79","2,864.45","2,922.07","2,833.45","63.03M","1.46%"
"04/08/2020","2,851.27","2,846.25","2,851.27","2,793.71","47.43M","-0.22%"
"04/07/2020","2,857.67","2,819.53","2,914.46","2,819.53","68.93M","2.21%"
"04/06/2020","2,795.97","2,701.86","2,804.70","2,701.86","58.55M","4.99%"
"04/03/2020","2,662.99","2,686.07","2,693.50","2,655.80","63.60M","-0.95%"
"04/02/2020","2,688.49","2,693.13","2,711.45","2,626.10","66.56M","0.31%"
"04/01/2020","2,680.30","2,760.54","2,760.54","2,663.42","63.22M","-3.83%"
"03/31/2020","2,786.90","2,780.80","2,827.32","2,728.02","74.50M","0.77%"
"03/30/2020","2,765.62","2,734.92","2,765.62","2,658.88","64.13M","1.35%"
"03/27/2020","2,728.65","2,803.09","2,803.09","2,694.78","66.18M","-4.18%"
"03/26/2020","2,847.78","2,765.86","2,847.78","2,706.29","65.31M","1.70%"
"03/25/2020","2,800.14","2,756.99","2,829.34","2,670.27","90.51M","3.13%"
"03/24/2020","2,715.11","2,507.61","2,715.11","2,507.61","87.88M","9.24%"
"03/23/2020","2,485.54","2,520.48","2,588.48","2,427.87","","-2.47%"
"03/20/2020","2,548.50","2,475.14","2,613.53","2,475.14","133.71M","3.85%"
"03/19/2020","2,454.08","2,388.94","2,461.57","2,345.30","101.35M","2.86%"
"03/18/2020","2,385.82","2,507.33","2,507.33","2,365.70","98.21M","-5.72%"
"03/17/2020","2,530.50","2,475.18","2,555.41","2,376.23","106.91M","3.27%"
"03/16/2020","2,450.37","2,557.71","2,557.71","2,302.84","137.14M","-5.25%"
"03/13/2020","2,586.02","2,584.36","2,793.27","2,537.27","136.55M","1.60%"
"03/12/2020","2,545.23","2,883.25","2,883.25","2,535.89","167.33M","-12.40%"
"03/11/2020","2,905.56","2,924.93","2,998.65","2,893.43","87.72M","-0.15%"
"03/10/2020","2,910.02","2,973.61","3,088.57","2,896.74","118.22M","-1.66%"
"03/09/2020","2,959.07","3,214.20","3,214.20","2,939.85","143.37M","-8.45%"
"03/06/2020","3,232.07","3,347.83","3,347.83","3,216.44","85.09M","-3.91%"
"03/05/2020","3,363.58","3,431.78","3,438.06","3,338.41","73.06M","-1.67%"
"03/04/2020","3,420.56","3,374.00","3,438.21","3,350.23","66.43M","1.44%"
"03/03/2020","3,371.97","3,355.52","3,448.24","3,354.30","79.45M","0.99%"
"03/02/2020","3,338.83","3,355.33","3,406.40","3,257.99","90.02M","0.28%"
"02/28/2020","3,329.49","3,431.52","3,431.52","3,283.18","123.09M","-3.66%"
"02/27/2020","3,455.92","3,553.05","3,553.05","3,410.70","86.76M","-3.40%"
"02/26/2020","3,577.68","3,567.03","3,595.80","3,467.58","71.79M","0.14%"
